iter	Passed	Remaining
1021	21852	20911
1022	21868	20884
1023	21886	20860
1024	21905	20837
1025	21933	20821
1026	21956	20802
1027	21980	20783
1028	22004	20764
1029	22024	20741
1030	22042	20716
1031	22060	20691
1032	22095	20683
1033	22120	20665
1034	22144	20647
1035	22167	20626
1036	22189	20605
1037	22212	20586
1038	22235	20566
1039	22260	20547
1040	22284	20529
1041	22308	20509
1042	22332	20491
1043	22355	20470
1044	22377	20450
1045	22393	20423
1046	22413	20400
1047	22436	20381
1048	22464	20365
1049	22483	20342
1050	22510	20326
1051	22535	20308
1052	22559	20288
1053	22588	20274
1054	22616	20257
1055	22640	20239
1056	22668	20223
1057	22691	20203
1058	22713	20182
1059	22733	20159
1060	22756	20140
1061	22773	20114
1062	22798	20095
1063	22809	20065
1064	22833	20045
1065	22849	20020
1066	22866	19994
1067	22881	19967
1068	22899	19943
1069	22923	19924
1070	22951	19908
1071	22974	19888
1072	22997	19867
1073	23016	19845
1074	23038	19824
1075	23054	19797
1076	23069	19770
1077	23087	19746
1078	23107	19723
1079	23130	19703
1080	23147	19678
1081	23175	19662
1082	23209	19651
1083	23227	19627
1084	23246	19603
1085	23272	19586
1086	23300	19570
1087	23320	19548
1088	23343	19528
1089	23367	19508
1090	23391	19489
1091	23416	19470
1092	23435	19447
1093	23456	19425
1094	23478	19404
1095	23496	19380
1096	23519	19359
1097	23545	19342
1098	23570	19323
1099	23589	19300
1100	23611	19279
1101	23634	19259
1102	23661	19242
1103	23686	19224
1104	23713	19207
1105	23737	19187
1106	23762	19168
1107	23777	19141
1108	23793	19116
1109	23810	19091
1110	23832	19070
1111	23852	19047
1112	23876	19028
1113	23899	19007
1114	23921	18986
1115	23948	18970
1116	23967	18946
1117	23993	18928
1118	24014	18906
1119	24034	18884
1120	24062	18867
1121	24085	18847
1122	24111	18829
1123	24136	18811
1124	24155	18787
1125	24172	18762
1126	24192	18739
1127	24213	18717
1128	24229	18692
1129	24257	18676
1130	24284	18658
1131	24303	18635
1132	24326	18615
1133	24351	18596
1134	24368	18571
1135	24389	18549
1136	24419	18534
1137	24443	18515
1138	24464	18493
1139	24489	18474
1140	24517	18457
1141	24540	18437
1142	24560	18414
1143	24579	18391
1144	24600	18369
1145	24621	18348
1146	24644	18327
1147	24663	18304
1148	24686	18283
1149	24706	18261
1150	24732	18242
1151	24750	18219
1152	24767	18194
1153	24790	18174
1154	24808	18149
1155	24836	18133
1156	24852	18107
1157	24873	18086
1158	24897	18066
1159	24915	18042
1160	24937	18021
1161	24960	18000
1162	24986	17982
1163	25014	17965
1164	25039	17946
1165	25061	17925
1166	25085	17905
1167	25106	17883
1168	25130	17864
1169	25147	17839
1170	25172	17820
1171	25196	17801
1172	25223	17782
1173	25248	17764
1174	25273	17745
1175	25291	17721
1176	25316	17702
1177	25334	17678
1178	25351	17653
1179	25367	17628
1180	25391	17608
1181	25418	17590
1182	25441	17570
1183	25465	17550
1184	25489	17530
1185	25511	17509
1186	25529	17485
1187	25554	17466
1188	25575	17444
1189	25598	17423
1190	25611	17396
1191	25636	17377
1192	25654	17353
1193	25679	17334
1194	25701	17313
1195	25718	17289
1196	25732	17262
1197	25751	17239
1198	25767	17213
1199	25792	17195
1200	25817	17176
1201	25842	17156
1202	25863	17134
1203	25885	17113
1204	25907	17092
1205	25933	17074
1206	25953	17051
1207	25974	17029
1208	25998	17009
1209	26024	16991
1210	26049	16971
1211	26066	16947
1212	26090	16927
1213	26119	16911
1214	26139	16888
1215	26164	16869
1216	26188	16849
1217	26216	16832
1218	26242	16813
1219	26265	16792
1220	26289	16772
1221	26314	16753
1222	26337	16732
1223	26359	16711
1224	26391	16696
1225	26409	16673
1226	26437	16655
1227	26458	16633
1228	26471	16606
1229	26488	16582
1230	26509	16560
1231	26541	16545
1232	26566	16525
1233	26588	16504
1234	26608	16482
1235	26628	16459
1236	26642	16433
1237	26666	16413
1238	26701	16400
